,Austria,Belgium,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Russia Belarus,Slovakia,Slovenia,Spain,Sweden,Switzerland Liechtenstein,Turkey,Ukraine,UK,Åland
One-way street,,,,,,,,(until 2022),,,,,,,,,,,,,,,,,,,,,NOT USED
,,NOT USED,,,,,NOT USED,,,,,NOT USED,,,,,NOT USED,NOT USED,,,,,,,NOT USED,,,,
End of one-way street,,,,,,NOT USED,,NOT USED,,,,,,,,,,,,,NOT USED,,,,,,,NOT USED,NOT USED
Pedestrian crossing,,,,,,,,,,,,,,,,,,,,,,,,or,[28],,,NOT USED,
Road hump,,,,,,NOT USED,,NOT USED,,,,,NOT USED,,,,,,,,DEFUNCT,,,NOT USED,NOT USED,,,NOT USED,NOT USED
Lane ends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential area / living street,or,,,,,,,,,,,,,,,,,,,,,,,,or,,,,
Pedestrian zone,,,,,,,,,,,,,,,,,,NOT USED,,(Russia) (Belarus),,,,,or,,,,
Bus lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT USED
Expressway,,,,,NOT USED,,,,,,NOT USED,NOT USED,,,,,,,,,,,,,,,,NOT USED,NOT USED
Expressway ends,,,,,NOT USED,,,,,,NOT USED,NOT USED,,,,,,,,,,,,,,,,NOT USED,NOT USED
Motorway,,,,,,,,,,,NOT USED,,,,,,,,,,,,,,,,,,NOT USED
Motorway ends,,,,,,,,,,,NOT USED,,,,,,,,,,,,,,,,,,NOT USED
,Austria,Belgium,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Russia Belarus,Slovakia,Slovenia,Spain,Sweden,Switzerland Liechtenstein,Turkey,Ukraine,UK,Åland
