Network Name,Location,Country,Founded,Status
24/7 Open AdStream [7],"New York, NY",USA,1997[8],Active
AdBrite[9],San Francisco[10],USA,2002[10],Defunct
Adcash [11],Tallinn,Estonia,2007,
Atlas Solutions[12],USA,USA,2001,Active
Bing Ads,Seattle,USA,2006,Active
Adform[13],Copenhagen,Denmark,2002,Active
AdTaily [14],London[15],UK,2010[15],Active
Advertising.com [16],"Baltimore, Maryland",USA,1998[17],Active
AdWords[18],"Ann Arbor, Michigan[19]",USA,2000[20],Active
BlueLithium[21],"San Jose, California[22]",USA,2004[22],Defunct[23]
Chitika[24],"Westborough, Massachusetts[25]",USA,2003[26],Active
Criteo[27],Paris[28],France,2005,Active
DoubleClick[29],"Chicago, Illinois[30]",USA,1998[30],Active
Baidu,Beijing,China,2000,Active
ExoClick,Barcelona,Spain,2006,Active
Right Media[31],New York[31][32],USA,2004[33],Active
Rocket Fuel[34],"Redwood City, California",USA,2008,Active
ValueClick[35],"Westlake Village, California[35]",USA,1998[36],Active
Publisher Network rank">url=http://www.alexa.com/siteinfo/yahoo.comtitle=Yahoo.com  work = Site Info  publisher = Alexa accessdate=11 May 2010,"Sunnyvale, California",USA,2005,Defunct
Yashi[37],"Toms River, New Jersey",USA,2007,Active
Zedo[38],"San Francisco, California[39]",USA,1999[40],Active
