Client,Offline support,Search,Annotations,News Filtering,Pluginable,Automatic Update,Publish Capabilities
Akregator,,,,,,,
Amarok,,,,,,,
AOL Explorer,,,,,,,
Avant,,,,,,,
Awasu,,,,,,,
BlogBridge,,,,,,,
Canto,,,,,,,
Claws Mail,,,,,,,
CommaFeed,,,,,,,
Cooliris,,,,,,,
CyberSEO,,,,,,,
Feed Viewer,,,,,,,Sharing
FeedDemon,,,,,,,
Feedreader,,,,,,,
Flock,,,,,,,
Gnus,,,,,,,
IBM Lotus Notes,,,,,,,
Internet Explorer,,,,,,,
iTunes,,,,,,,
Juice,,,,,,,
K-Meleon,,,,,,,
Kazehakase,,,,,,,
Liferea,,,,,,,
Mail (OS X),,,,,,,
Maxthon,,,,,,,
MediaMonkey,,,,,,,
Microsoft Office Outlook,,,,,,,
Mozilla Firefox,,,,,,,
Mozilla Thunderbird,,,,,,,
NetNewsWire,,,,,,,
Netscape Browser,,,,,,,
Netscape Navigator 9,,,,,,,
NewsAccess,,,,,,,
Newsbeuter,,,,,,,
NewsBlur,,,,,,,
NewsFire,,,,,,,
OmniWeb,,,,,,,
Opera Mail,,,,,,,
Pegasus Mail,,,,,,,
Rhythmbox,,,,,,,
RSS Bandit,,,,,,,
RSS Guard,,,,,,,
RSSOwl,,,,,,,
Safari,,,,,,,
Sage,,,,,,,
SeaMonkey Mail & Newsgroups,,,,,,,
Shiira,,,,,,,
Sleipnir,,,,,,,
Songbird,,,,,,,
The Bat!,,,,,,,
The Old Reader,Via some mobile apps,,,,,,Sharing
Tiny Tiny RSS,,,,,,,
Winamp,,,,,,,
Windows Live Mail,,,,,,,
Zimbra,,,,,,,
Zune,,,,,,,
Client,Offline support,Search,Annotations,News Filtering,Pluginable,Automatic Update,Publish Capabilities
